nom_commune,nom,siren,code_naf,tranche_effectif,latitude,longitude,adresse,cp_entreprise
Échirolles,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Échirolles,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Échirolles,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Échirolles,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Échirolles,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Saint-Martin-d'Hères,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Saint-Martin-d'Hères,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Saint-Martin-d'Hères,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Saint-Martin-d'Hères,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Saint-Martin-d'Hères,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Saint-Martin-d'Hères,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Saint-Martin-d'Hères,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Saint-Martin-d'Hères,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Saint-Martin-d'Hères,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Saint-Martin-d'Hères,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Villefontaine,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Villefontaine,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Villefontaine,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Villefontaine,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Villefontaine,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Villefontaine,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Villefontaine,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Villefontaine,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Villefontaine,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Villefontaine,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Crolles,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Crolles,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Crolles,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Crolles,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
Crolles,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Crolles,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Crolles,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Crolles,SNCF VOYAGEURS,519037584,49.10Z,53,,,1 RUE CAMILLE MOKE 93210 SAINT-DENIS,93210
Crolles,CREDIT LYONNAIS,954509741,64.19Z,53,,,18 RUE DE LA REPUBLIQUE 69002 LYON,69002
Crolles,PICARD SURGELES,784939688,47.11A,52,,,1 ROUTE MILITAIRE 77300 FONTAINEBLEAU,77300
Meylan,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Meylan,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Meylan,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Meylan,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Meylan,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Meylan,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Meylan,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
